run,query_hash,time_ms
0,e1e93656,82
0,c3c4ce2d,1
0,2ca13c19,82
0,22f424ca,168
0,670fd851,0
0,273e78cb,0
0,46f37273,1
0,29c34912,17
0,273e78cb,0
0,5e3d64d1,9
0,97808067,8
1,e1e93656,75
1,c3c4ce2d,1
1,2ca13c19,90
1,22f424ca,186
1,670fd851,0
1,273e78cb,0
1,46f37273,1
1,29c34912,25
1,273e78cb,0
1,5e3d64d1,11
1,97808067,11
2,e1e93656,87
2,c3c4ce2d,1
2,2ca13c19,107
2,22f424ca,209
2,670fd851,1
2,273e78cb,0
2,46f37273,1
2,29c34912,30
2,273e78cb,1
2,5e3d64d1,19
2,97808067,17
3,e1e93656,83
3,c3c4ce2d,1
3,2ca13c19,126
3,22f424ca,256
3,670fd851,0
3,273e78cb,0
3,46f37273,1
3,29c34912,38
3,273e78cb,0
3,5e3d64d1,25
3,97808067,168
4,e1e93656,76
4,c3c4ce2d,1
4,2ca13c19,138
4,22f424ca,272
4,670fd851,0
4,273e78cb,0
4,46f37273,1
4,29c34912,51
4,273e78cb,1
4,5e3d64d1,137
4,97808067,27
