run,query_hash,time_ms
0,e1e93656,81
0,c3c4ce2d,1
0,b327aa4a,231
0,853cd585,54
0,e506ec9d,133
0,670fd851,0
0,273e78cb,0
0,46f37273,2
0,56db5fd8,13
0,273e78cb,1
0,46f37273,1
0,6245fe4e,15
0,2687b8b8,6
0,273e78cb,1
0,e3d02a6a,13
1,e1e93656,74
1,c3c4ce2d,1
1,b327aa4a,279
1,853cd585,77
1,e506ec9d,160
1,670fd851,0
1,273e78cb,1
1,46f37273,1
1,56db5fd8,22
1,273e78cb,1
1,46f37273,1
1,6245fe4e,23
1,2687b8b8,8
1,273e78cb,0
1,e3d02a6a,19
2,e1e93656,78
2,c3c4ce2d,2
2,b327aa4a,337
2,853cd585,97
2,e506ec9d,210
2,670fd851,0
2,273e78cb,0
2,46f37273,3
2,56db5fd8,27
2,273e78cb,1
2,46f37273,1
2,6245fe4e,39
2,2687b8b8,11
2,273e78cb,0
2,e3d02a6a,29
3,e1e93656,85
3,c3c4ce2d,1
3,b327aa4a,415
3,853cd585,110
3,e506ec9d,218
3,670fd851,1
3,273e78cb,1
3,46f37273,1
3,56db5fd8,42
3,273e78cb,1
3,46f37273,1
3,6245fe4e,60
3,2687b8b8,14
3,273e78cb,1
3,e3d02a6a,169
4,e1e93656,76
4,c3c4ce2d,2
4,b327aa4a,485
4,853cd585,131
4,e506ec9d,254
4,670fd851,0
4,273e78cb,1
4,46f37273,1
4,56db5fd8,49
4,273e78cb,1
4,46f37273,1
4,6245fe4e,290
4,2687b8b8,17
4,273e78cb,2
4,e3d02a6a,51
