run,query_hash,time_ms
0,e1e93656,21
0,c3c4ce2d,1
0,b327aa4a,255
0,853cd585,59
0,e506ec9d,131
0,670fd851,0
0,273e78cb,1
0,46f37273,1
0,56db5fd8,16
0,273e78cb,1
0,46f37273,1
0,6245fe4e,15
0,2687b8b8,4
0,273e78cb,1
0,e3d02a6a,14
1,e1e93656,17
1,c3c4ce2d,1
1,b327aa4a,297
1,853cd585,90
1,e506ec9d,153
1,670fd851,1
1,273e78cb,0
1,46f37273,1
1,56db5fd8,28
1,273e78cb,1
1,46f37273,1
1,6245fe4e,23
1,2687b8b8,4
1,273e78cb,1
1,e3d02a6a,20
2,e1e93656,17
2,c3c4ce2d,1
2,b327aa4a,357
2,853cd585,106
2,e506ec9d,189
2,670fd851,0
2,273e78cb,1
2,46f37273,1
2,56db5fd8,41
2,273e78cb,1
2,46f37273,1
2,6245fe4e,40
2,2687b8b8,5
2,273e78cb,1
2,e3d02a6a,33
3,e1e93656,16
3,c3c4ce2d,1
3,b327aa4a,426
3,853cd585,126
3,e506ec9d,224
3,670fd851,0
3,273e78cb,3
3,46f37273,1
3,56db5fd8,55
3,273e78cb,2
3,46f37273,1
3,6245fe4e,60
3,2687b8b8,5
3,273e78cb,2
3,e3d02a6a,206
4,e1e93656,16
4,c3c4ce2d,1
4,b327aa4a,416
4,853cd585,134
4,e506ec9d,255
4,670fd851,0
4,273e78cb,1
4,46f37273,1
4,56db5fd8,58
4,273e78cb,2
4,46f37273,1
4,6245fe4e,181
4,2687b8b8,8
4,273e78cb,3
4,e3d02a6a,52
