run,query_hash,time_ms
0,e1e93656,129
0,c3c4ce2d,3
0,b327aa4a,239
0,2befbfe7,453
0,e506ec9d,77
0,670fd851,6
0,273e78cb,1
0,46f37273,3
0,1fdf2761,20
0,273e78cb,1
0,46f37273,2
0,6245fe4e,25
0,e8057af8,3
0,273e78cb,1
0,e3d02a6a,10
1,e1e93656,19
1,c3c4ce2d,2
1,b327aa4a,153
1,2befbfe7,475
1,e506ec9d,75
1,670fd851,1
1,273e78cb,1
1,46f37273,2
1,1fdf2761,18
1,273e78cb,1
1,46f37273,2
1,6245fe4e,17
1,e8057af8,5
1,273e78cb,1
1,e3d02a6a,14
2,e1e93656,19
2,c3c4ce2d,2
2,b327aa4a,155
2,2befbfe7,580
2,e506ec9d,91
2,670fd851,1
2,273e78cb,1
2,46f37273,2
2,1fdf2761,26
2,273e78cb,1
2,46f37273,2
2,6245fe4e,21
2,e8057af8,5
2,273e78cb,1
2,e3d02a6a,19
3,e1e93656,19
3,c3c4ce2d,3
3,b327aa4a,168
3,2befbfe7,590
3,e506ec9d,91
3,670fd851,1
3,273e78cb,1
3,46f37273,2
3,1fdf2761,31
3,273e78cb,1
3,46f37273,2
3,6245fe4e,27
3,e8057af8,6
3,273e78cb,1
3,e3d02a6a,24
4,e1e93656,19
4,c3c4ce2d,2
4,b327aa4a,174
4,2befbfe7,694
4,e506ec9d,108
4,670fd851,1
4,273e78cb,1
4,46f37273,2
4,1fdf2761,36
4,273e78cb,1
4,46f37273,2
4,6245fe4e,37
4,e8057af8,5
4,273e78cb,1
4,e3d02a6a,28
5,e1e93656,19
5,c3c4ce2d,5
5,b327aa4a,182
5,2befbfe7,706
5,e506ec9d,107
5,670fd851,1
5,273e78cb,2
5,46f37273,2
5,1fdf2761,46
5,273e78cb,2
5,46f37273,2
5,6245fe4e,43
5,e8057af8,5
5,273e78cb,2
5,e3d02a6a,31
6,e1e93656,19
6,c3c4ce2d,2
6,b327aa4a,240
6,2befbfe7,850
6,e506ec9d,128
6,670fd851,1
6,273e78cb,1
6,46f37273,2
6,1fdf2761,48
6,273e78cb,1
6,46f37273,2
6,6245fe4e,59
6,e8057af8,7
6,273e78cb,1
6,e3d02a6a,36
7,e1e93656,19
7,c3c4ce2d,2
7,b327aa4a,194
7,2befbfe7,791
7,e506ec9d,118
7,670fd851,1
7,273e78cb,1
7,46f37273,2
7,1fdf2761,53
7,273e78cb,1
7,46f37273,2
7,6245fe4e,65
7,e8057af8,5
7,273e78cb,1
7,e3d02a6a,282
8,e1e93656,19
8,c3c4ce2d,3
8,b327aa4a,162
8,2befbfe7,644
8,e506ec9d,96
8,670fd851,1
8,273e78cb,1
8,46f37273,3
8,1fdf2761,58
8,273e78cb,1
8,46f37273,2
8,6245fe4e,84
8,e8057af8,6
8,273e78cb,1
8,e3d02a6a,272
9,e1e93656,19
9,c3c4ce2d,2
9,b327aa4a,158
9,2befbfe7,642
9,e506ec9d,95
9,670fd851,1
9,273e78cb,1
9,46f37273,2
9,1fdf2761,61
9,273e78cb,2
9,46f37273,2
9,6245fe4e,89
9,e8057af8,5
9,273e78cb,2
9,e3d02a6a,328
