run,query_hash,time_ms
0,e1e93656,129
0,c3c4ce2d,3
0,b327aa4a,238
0,2befbfe7,454
0,e506ec9d,79
0,670fd851,6
0,273e78cb,1
0,46f37273,3
0,1fdf2761,22
0,273e78cb,1
0,46f37273,2
0,6245fe4e,29
0,e8057af8,6
0,273e78cb,1
0,e3d02a6a,11
1,e1e93656,20
1,c3c4ce2d,3
1,b327aa4a,147
1,2befbfe7,481
1,e506ec9d,233
1,670fd851,1
1,273e78cb,1
1,46f37273,2
1,1fdf2761,19
1,273e78cb,2
1,46f37273,3
1,6245fe4e,19
1,e8057af8,5
1,273e78cb,4
1,e3d02a6a,15
2,e1e93656,20
2,c3c4ce2d,3
2,b327aa4a,190
2,2befbfe7,623
2,e506ec9d,98
2,670fd851,1
2,273e78cb,2
2,46f37273,3
2,1fdf2761,29
2,273e78cb,2
2,46f37273,3
2,6245fe4e,26
2,e8057af8,5
2,273e78cb,1
2,e3d02a6a,23
3,e1e93656,20
3,c3c4ce2d,3
3,b327aa4a,194
3,2befbfe7,641
3,e506ec9d,100
3,670fd851,1
3,273e78cb,2
3,46f37273,3
3,1fdf2761,38
3,273e78cb,2
3,46f37273,2
3,6245fe4e,35
3,e8057af8,8
3,273e78cb,1
3,e3d02a6a,26
4,e1e93656,20
4,c3c4ce2d,3
4,b327aa4a,279
4,2befbfe7,872
4,e506ec9d,124
4,670fd851,2
4,273e78cb,2
4,46f37273,3
4,1fdf2761,50
4,273e78cb,2
4,46f37273,3
4,6245fe4e,49
4,e8057af8,9
4,273e78cb,2
4,e3d02a6a,32
5,e1e93656,20
5,c3c4ce2d,3
5,b327aa4a,251
5,2befbfe7,881
5,e506ec9d,119
5,670fd851,2
5,273e78cb,3
5,46f37273,6
5,1fdf2761,73
5,273e78cb,2
5,46f37273,3
5,6245fe4e,81
5,e8057af8,6
5,273e78cb,2
5,e3d02a6a,45
6,e1e93656,20
6,c3c4ce2d,3
6,b327aa4a,414
6,2befbfe7,1334
6,e506ec9d,223
6,670fd851,1
6,273e78cb,2
6,46f37273,3
6,1fdf2761,59
6,273e78cb,2
6,46f37273,3
6,6245fe4e,104
6,e8057af8,7
6,273e78cb,2
6,e3d02a6a,300
7,e1e93656,923
7,c3c4ce2d,6
7,b327aa4a,1946
7,2befbfe7,1983
7,e506ec9d,789
7,670fd851,4
7,273e78cb,8
7,46f37273,6
7,1fdf2761,160
7,273e78cb,12
7,46f37273,8
7,6245fe4e,224
7,e8057af8,38
7,273e78cb,11
7,e3d02a6a,581
8,e1e93656,20
8,c3c4ce2d,3
8,b327aa4a,180
8,2befbfe7,619
8,e506ec9d,95
8,670fd851,1
8,273e78cb,2
8,46f37273,3
8,1fdf2761,76
8,273e78cb,2
8,46f37273,2
8,6245fe4e,138
8,e8057af8,6
8,273e78cb,2
8,e3d02a6a,247
9,e1e93656,20
9,c3c4ce2d,3
9,b327aa4a,21
9,2befbfe7,1
9,e506ec9d,2
9,670fd851,1
9,273e78cb,1
9,46f37273,2
9,1fdf2761,76
9,273e78cb,2
9,46f37273,3
9,6245fe4e,135
9,e8057af8,4
9,273e78cb,2
9,e3d02a6a,48
