run,query_hash,time_ms
0,e1e93656,20
0,46f37273,1
0,b974c207,422
0,dba0ee60,90
0,79c516bf,703
0,af14add9,0
0,3aebad93,386
0,78e6268f,3
0,95d001eb,394
1,e1e93656,15
1,46f37273,2
1,b974c207,523
1,dba0ee60,112
1,79c516bf,1052
1,af14add9,0
1,3aebad93,428
1,78e6268f,4
1,95d001eb,431
2,e1e93656,16
2,46f37273,1
2,b974c207,594
2,dba0ee60,145
2,79c516bf,1371
2,af14add9,0
2,3aebad93,553
2,78e6268f,4
2,95d001eb,523
3,e1e93656,17
3,46f37273,1
3,b974c207,719
3,dba0ee60,160
3,79c516bf,1905
3,af14add9,1
3,3aebad93,628
3,78e6268f,5
3,95d001eb,620
4,e1e93656,17
4,46f37273,1
4,b974c207,810
4,dba0ee60,160
4,79c516bf,2285
4,af14add9,0
4,3aebad93,797
4,78e6268f,5
4,95d001eb,747
