run,query_hash,time_ms
0,e1e93656,130
0,46f37273,346
0,b974c207,275
0,dba0ee60,69
0,79c516bf,178
0,af14add9,0
0,3aebad93,202
0,78e6268f,6
0,95d001eb,199
1,e1e93656,98
1,46f37273,344
1,b974c207,338
1,dba0ee60,91
1,79c516bf,277
1,af14add9,0
1,3aebad93,275
1,78e6268f,3
1,95d001eb,243
2,e1e93656,103
2,46f37273,344
2,b974c207,671
2,dba0ee60,143
2,79c516bf,600
2,af14add9,0
2,3aebad93,569
2,78e6268f,4
2,95d001eb,518
3,e1e93656,110
3,46f37273,321
3,b974c207,370
3,dba0ee60,89
3,79c516bf,295
3,af14add9,0
3,3aebad93,286
3,78e6268f,3
3,95d001eb,242
4,e1e93656,214
4,46f37273,649
4,b974c207,322
4,dba0ee60,68
4,79c516bf,235
4,af14add9,0
4,3aebad93,177
4,78e6268f,6
4,95d001eb,183
5,e1e93656,102
5,46f37273,343
5,b974c207,473
5,dba0ee60,155
5,79c516bf,554
5,af14add9,0
5,3aebad93,349
5,78e6268f,4
5,95d001eb,337
